Population total (UN Population Division's annual estimates and projections) [code 13660],,,,,,,,,,,,,,,,,,,,,,,,,
Country or Area Code, Country or Area Name, Population projections variants,2008,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050, 
28,Antigua and Barbuda,Constant fertility scenario,86261,88354,90467,92602,94722,96830,98916,100971,102994,104979,106924,108832,110702,112527,114298,116015,117672,119271,120814,122304,123745,125146
32,Argentina,Medium variant projection,39934110,40737988,41525585,42296916,43050430,43781494,44486174,45161369,45805040,46416210,46993918,47533834,48033630,48501135,48949131,49379021,49785678,50165092,50517070,50840992,51132443,51382419
32,Argentina,High variant projection,40120580,41117778,42133394,43167997,44219116,45275998,46316439,47326331,48309671,49277210,50230953,51170610,52097442,53022588,53962109,54918295,55884600,56855204,57828476,58801647,59766625,60708974
32,Argentina,Low variant projection,39747924,40358640,40918320,41426463,41882504,42288455,42658580,43001287,43311214,43579449,43803817,43977245,44095006,44162726,44190758,44180110,44126818,44028474,43886520,43702614,43475772,43201669
32,Argentina,Constant fertility scenario,40002353,40883799,41772388,42668854,43570763,44473530,45372779,46265559,47151271,48030656,48903766,49772250,50637309,51499405,52359057,53216393,54071693,54924660,55774099,56618325,57455469,58283561
51,Armenia,Medium variant projection,2995890,2986527,2981300,2977768,2973195,2966276,2955450,2939666,2919249,2895253,2868020,2838393,2807007,2774192,2740266,2705305,2668898,2630710,2590707,2548854,2504870,2458175
51,Armenia,High variant projection,3012530,3020163,3034617,3052812,3070954,3086932,3097417,3100372,3097042,3090167,3080730,3070896,3062172,3055006,3049621,3045829,3042091,3037110,3030517,3021989,3010558,2994437
51,Armenia,Low variant projection,2979366,2953112,2928320,2903067,2875482,2845111,2812168,2776690,2738507,2697586,2653902,2607470,2558313,2506472,2452021,2395031,2335449,2273337,2208969,2142697,2074856,2005738
51,Armenia,Constant fertility scenario,2993798,2982137,2974055,2966608,2956313,2941929,2922547,2897549,2867733,2834872,2799396,2761867,2722686,2681629,2638142,2592065,2542873,2490268,2434472,2375896,2314872,2251590
533,Aruba,Medium variant projection,103530,102935,103487,104600,105406,105922,106330,106703,107024,107303,107537,107698,107764,107724,107568,107290,106887,106364,105740,105044,104308,103566
533,Aruba,High variant projection,103929,103722,104698,106290,107654,108799,109874,110934,111958,112954,113919,114832,115675,116450,117158,117801,118379,118898,119380,119852,120343,120882
533,Aruba,Low variant projection,103120,102130,102251,102883,103138,103039,102799,102507,102147,101729,101252,100691,100029,99253,98343,97293,96096,94753,93283,91711,90067,88382
533,Aruba,Constant fertility scenario,103644,103186,103923,105274,106374,107234,108021,108794,109522,110193,110803,111328,111755,112084,112314,112450,112503,112487,112424,112336,112254,112213
36,Australia,Medium variant projection,20950604,21362106,21776292,22190601,22602899,23012807,23417821,23815621,24203882,24579699,24941429,25286682,25614149,25924973,26221487,26505001,26777788,27041957,27298882,27549825,27796420,28040793
36,Australia,High variant projection,21038205,21539423,22057883,22592060,23140730,23700298,24258850,24808353,25346915,25873426,26387649,26891445,27387062,27879772,28377250,28882706,29399251,29928690,30470773,31023851,31585391,32152109
36,Australia,Low variant projection,20862762,21184377,21494183,21788535,22064360,22324490,22575362,22820403,23057205,23281384,23491079,23682536,23852939,24000988,24125735,24226932,24304950,24360892,24396642,24414807,24418659,24412134
36,Australia,Constant fertility scenario,20939749,21338012,21734016,22125515,22511131,22891043,23264084,23628918,23983382,24324473,24650736,24960310,25252074,25526550,25785114,26028618,26258564,26476508,26683754,26881680,27071994,27256798
40,Austria,Medium variant projection,8391254,8442118,8477259,8501754,8526035,8551450,8575288,8596179,8614088,8628186,8638085,8643167,8643119,8638331,8629540,8617169,8601886,8584324,8564927,8544107,8522373,8500357
40,Austria,High variant projection,8423269,8506786,8579686,8647056,8719123,8795929,8871368,8942018,9008126,9069755,9127120,9181356,9233539,9285442,9339541,9396796,9457801,9522793,9591580,9663533,9737586,9812230
40,Austria,Low variant projection,8358932,8376883,8374033,8355375,8331435,8304874,8276240,8246269,8214843,8180460,8142605,8100109,8052069,7997980,7937387,7870171,7796424,7716496,7631006,7540834,7447090,7351126
40,Austria,Constant fertility scenario,8385237,8430318,8459180,8476022,8490033,8502366,8510496,8513159,8510400,8501591,8486486,8464936,8436883,8402520,8362234,8316251,8264906,8208515,8147314,8081525,8011408,7937271
31,Azerbaijan,Medium variant projection,8533620,8671004,8807098,8941605,9072525,9196215,9306859,9400667,9476535,9534108,9573819,9598896,9611829,9614892,9611171,9601789,9586969,9566445,9539565,9505053,9460829,9403957
31,Azerbaijan,High variant projection,8578178,8762393,8954356,9152758,9353829,9551524,9733371,9891712,10027232,10143102,10241525,10330347,10415243,10499992,10589157,10683651,10780886,10877861,10972361,11061251,11139123,11197977
31,Azerbaijan,Low variant projection,8489609,8580772,8661780,8733024,8793819,8842913,8880818,8907671,8921599,8920144,8902871,8870286,8822822,8761265,8686964,8600654,8503139,8395118,8277075,8149373,8012327,7866225
31,Azerbaijan,Constant fertility scenario,8508679,8623408,8736894,8847547,8951481,9045491,9124625,9185705,9228790,9255174,9265623,9263568,9251408,9229883,9199684,9161073,9112961,9054456,8985526,8906148,8815630,8712452
44,Bahamas,Medium variant projection,335286,343295,351274,359120,366643,373814,380762,387553,394139,400453,406473,412204,417645,422700,427227,431226,434828,438132,441144,443863,446354,448768
44,Bahamas,High variant projection,336973,346724,356749,366957,377155,387262,397233,407033,416661,426146,435496,444778,454041,463220,472196,480975,489660,498321,506947,515517,524057,532653
44,Bahamas,Low variant projection,333600,339867,345801,351287,356130,360362,364288,368087,371678,374926,377795,380257,382283,383760,384529,384590,384090,383148,381780,380004,377913,375697
44,Bahamas,Constant fertility scenario,335860,344497,353259,362056,370706,379164,387519,395809,403969,411911,419611,427103,434407,441433,448043,454242,460170,465929,471522,476941,482245,487579
48,Bahrain,Medium variant projection,766071,792476,818563,844142,869009,893168,916609,939304,961374,983033,1004248,1024760,1044394,1063068,1080673,1097156,1112487,1126669,1139735,1151751,1162810,1173037
48,Bahrain,High variant projection,769496,799473,829798,860327,890883,921361,951374,980666,1009431,1038034,1066479,1094582,1122236,1149421,1176093,1202237,1227859,1252981,1277628,1301842,1325680,1349223
48,Bahrain,Low variant projection,762645,785477,807324,827954,847131,864976,881844,897943,913345,928139,942284,955494,967562,978378,987804,995767,1002223,1007168,1010642,1012726,1013535,1013220
48,Bahrain,Constant fertility scenario,768912,798489,828622,859191,890016,921049,952165,983255,1014244,1045057,1075626,1105854,1135679,1165074,1194029,1222557,1250720,1278584,1306204,1333643,1360993,1388382
50,Bangladesh,Medium variant projection,161317626,166638440,172022820,177425806,182788115,188094660,193333027,198487452,203540443,208475710,213278401,217932282,222423104,226742446,230884834,234840509,238599990,242153411,245489985,248598350,251466842,254083572
50,Bangladesh,High variant projection,162004378,168060736,174343564,180817674,187430102,194146363,200875194,207554708,214196056,220833967,227468488,234110770,240767199,247435886,254113132,260789003,267441993,274050680,280598642,287068012,293434403,299665669
50,Bangladesh,Low variant projection,160307905,164598304,168787775,172825860,176654385,180288246,183795302,187208513,190487772,193570812,196432347,199032608,201341231,203346958,205045355,206432679,207521917,208323563,208837044,209061333,209003313,208679805
50,Bangladesh,Constant fertility scenario,162537654,169100022,175929726,183005767,190283523,197753448,205419138,213287032,221382098,229745043,238395678,247357097,256648568,266277157,276243733,286556117,297215284,308225916,319601413,331358096,343510616,356070847
52,Barbados,Medium variant projection,294826,296590,298215,299679,300950,302000,302787,303276,303420,303165,302488,301367,299794,297801,295447,292760,289789,286572,283128,279468,275607,271565
52,Barbados,High variant projection,296167,299266,302393,305524,308614,311591,314304,316655,318639,320275,321570,322548,323239,323693,323980,324129,324165,324101,323938,323669,323275,322726
52,Barbados,Low variant projection,293482,293910,294034,293833,293284,292405,291270,289910,288254,286190,283685,280684,277158,273125,268631,263706,258409,252792,246887,240720,234331,227777
52,Barbados,Constant fertility scenario,294846,296600,298170,299520,300599,301374,301821,301912,301602,300839,299601,297864,295617,292889,289731,286171,282245,277989,273431,268597,263515,258216
112,Belarus,Medium variant projection,9635397,9528528,9421819,9314344,9204198,9090958,8974301,8854009,8730476,8604511,8476381,8346475,8215086,8082214,7947724,7811627,7673747,7534003,7392539,7249564,7105245,6959662
112,Belarus,High variant projection,9682238,9622170,9568330,9518555,9468825,9416744,9358042,9290260,9215687,9138726,9060969,8985324,8913834,8847107,8785306,8728126,8673567,8619832,8566149,8511719,8454899,8392998
112,Belarus,Low variant projection,9588659,9435001,9275342,9109756,8938105,8762047,8585351,8410341,8236356,8061764,7886163,7708577,7528207,7344395,7156425,6964140,6767592,6567141,6363523,6157793,5951281,5745572
112,Belarus,Constant fertility scenario,9642775,9540584,9435623,9326401,9210241,9086723,8957085,8822167,8683075,8541684,8398442,8253191,8105798,7955563,7801237,7642492,7478974,7310614,7137807,6961242,6781771,6600379
56,Belgium,Medium variant projection,10480390,10521760,10560832,10596425,10628352,10657356,10684118,10708934,10731523,10751298,10767833,10780063,10787275,10789175,10785504,10776363,10762308,10743986,10721988,10697047,10670201,10642824
56,Belgium,High variant projection,10521536,10604295,10690514,10779342,10870808,10964212,11056524,11145736,11231853,11315282,11396019,11473988,11549463,11623726,11698578,11774929,11854067,11936856,12023346,12113211,12206093,12301685
56,Belgium,Low variant projection,10439244,10439224,10431151,10413509,10385896,10350509,10311709,10272151,10231314,10187635,10140568,10088614,10030558,9965220,9891167,9808028,9715891,9615229,9506904,9392213,9272924,9151285
56,Belgium,Constant fertility scenario,10478081,10516906,10552740,10584411,10611829,10635679,10656351,10673970,10688205,10698394,10704153,10704750,10699683,10688650,10671363,10647902,10618722,10584372,10545388,10502442,10456471,10408700
84,Belize,Medium variant projection,293717,305680,317562,329281,340724,351870,362815,373604,384145,394315,404080,413402,422255,430692,438810,446624,454138,461345,468233,474774,480927,486633
84,Belize,High variant projection,295199,308741,322535,336522,350600,364704,378769,392741,406579,420243,433726,447030,460162,473203,486278,499409,512589,525794,538993,552137,565145,577905
84,Belize,Low variant projection,292232,302618,312589,322043,330849,339037,346865,354482,361769,368537,374745,380343,385292,389634,393452,396765,399580,401902,403738,405081,405922,406236
84,Belize,Constant fertility scenario,296123,310706,325859,341544,357653,374170,391182,408747,426851,445469,464634,484467,505050,526386,548467,571309,594918,619306,644497,670518,697395,725150
204,Benin,Medium variant projection,9309370,9872366,10446525,11032474,11633788,12249275,12873967,13504538,14140497,14781584,15426842,16076100,16728790,17383792,18039927,18695681,19348780,19997054,20638806,21272335,21895553,22505901
204,Benin,High variant projection,9345480,9947729,10570630,11215935,11888388,12586211,13300256,14024995,14762031,15514403,16282600,17068980,17874892,18700202,19544504,20406552,21283159,22171318,23069112,23974540,24884583,25794989
204,Benin,Low variant projection,9273262,9797004,10322435,10849033,11379171,11912318,12447680,12984267,13519833,14051245,14576562,15093853,15601261,16097159,16580093,17048614,17501423,17937286,18355006,18753459,19131628,19488608
204,Benin,Constant fertility scenario,9365007,9997188,10669427,11387478,12159732,12990147,13878711,14827840,15843757,16933450,18103744,19362999,20719662,22181976,23758635,25458654,27290785,29264487,31390353,33679568,36143481,38793508
60,Bermuda,Medium variant projection,64719,64995,65222,65411,65578,65724,65846,65937,65991,66001,65963,65873,65730,65534,65287,64993,64655,64282,63886,63477,63070,62680
60,Bermuda,High variant projection,64958,65477,65988,66499,67032,67580,68111,68605,69057,69465,69826,70149,70440,70708,70962,71213,71470,71743,72038,72359,72711,73102
60,Bermuda,Low variant projection,64481,64514,64461,64328,64131,63879,63592,63280,62940,62554,62121,61636,61093,60490,59818,59080,58277,57412,56497,55544,54572,53596
60,Bermuda,Constant fertility scenario,64775,65111,65412,65683,65929,66153,66348,66510,66635,66710,66735,66709,66633,66512,66346,66144,65911,65655,65383,65105,64830,64571
64,Bhutan,Medium variant projection,666918,684282,704908,726585,746138,763512,779996,796260,811851,826192,839271,851237,862188,872303,881872,890982,899692,908007,915858,923117,929601,935084
64,Bhutan,High variant projection,670075,690868,715731,742471,767903,791826,815049,837942,860090,881034,900819,919759,938093,956151,974419,993044,1012097,1031551,1051256,1070950,1090266,1108738
64,Bhutan,Low variant projection,663761,677694,694083,710698,724370,735195,744941,754586,763663,771505,778090,783470,787662,790736,792840,794015,794299,793711,792236,789841,786473,782060
64,Bhutan,Constant fertility scenario,676451,702606,732228,763333,793047,821215,848979,876978,904981,932741,960402,988394,1016995,1046325,1076511,1107585,1139424,1171904,1204966,1238530,1272428,1306384
68,Bolivia,Medium variant projection,9694231,10031005,10364136,10692383,11014701,11330243,11638075,11937332,12227259,12507137,12776300,13034186,13280302,13514011,13734612,13941828,14135899,14316960,14484798,14639192,14780180,14908126
68,Bolivia,High variant projection,9735014,10115285,10501315,10892661,11288989,11688328,12085147,12475814,12860950,13242392,13620063,13994493,14366049,14734377,15098860,15459218,15815198,16166458,16512537,16852925,17187109,17514593
68,Bolivia,Low variant projection,9653141,9946017,10225682,10490111,10737574,10968458,11186495,11393771,11588538,11768004,11931361,12077688,12206218,12316360,12407617,12479955,12534144,12570857,12590296,12592695,12578700,12549471
68,Bolivia,Constant fertility scenario,9765620,10185076,10627767,11094002,11582806,12093947,12626192,13179116,13753719,14351497,14973918,15623487,16302489,17012876,17756758,18536020,19352419,20207643,21103333,22041046,23022229,24048210
70,Bosnia and Herzegovina,Medium variant projection,3940397,3941513,3929946,3910208,3886909,3861605,3833456,3802203,3768391,3732138,3693629,3653145,3610905,3566857,3520815,3472896,3423416,3372641,3320708,3267755,3214028,3159898
70,Bosnia and Herzegovina,High variant projection,3957497,3975707,3983462,3985204,3985345,3984783,3981140,3973236,3961875,3947813,3931512,3913941,3895856,3877688,3859840,3842543,3825888,3809828,3794175,3778600,3762634,3745665
70,Bosnia and Herzegovina,Low variant projection,3923220,3907144,3876122,3834713,3787708,3737358,3684328,3629346,3572874,3514611,3454695,3393225,3330208,3265253,3197737,3127578,3054811,2979584,2902186,2823056,2742770,2662051
70,Bosnia and Herzegovina,Constant fertility scenario,3944397,3948472,3938859,3920015,3896524,3869827,3839180,3804426,3766149,3724531,3679876,3632782,3583664,3532511,3479164,3423681,3366069,3306346,3244580,3180855,3115248,3047827
72,Botswana,Medium variant projection,1905516,1952694,1997279,2040279,2082598,2124227,2165177,2205489,2245064,2283725,2321461,2358025,2393301,2427840,2462510,2497449,2532520,2567556,2602437,2636947,2670660,2702917
72,Botswana,High variant projection,1914832,1971909,2028472,2085611,2144258,2204065,2263898,2323109,2381831,2440372,2498906,2557639,2616810,2677273,2740244,2805950,2874156,2944532,3016746,3090273,3164237,3237378
72,Botswana,Low variant projection,1896197,1933474,1966083,1994945,2020930,2044379,2066452,2087909,2108482,2127590,2145131,2160582,2173615,2184610,2194234,2202605,2209687,2215462,2219979,2223259,2225208,2225601
72,Botswana,Constant fertility scenario,1915027,1972516,2029931,2088411,2148836,2211195,2275496,2341835,2410315,2481036,2554188,2629800,2708008,2789509,2875280,2965659,3060702,3160463,3265077,3374608,3488923,3607669
76,Brazil,Medium variant projection,194227983,198981989,203548242,207925074,212125824,216146357,219991726,223663601,227156412,230464058,233580377,236480174,239147352,241597876,243860414,245936492,247814229,249485324,250950880,252211940,253262039,254085395
76,Brazil,High variant projection,195183649,200923888,206648511,212354689,218044372,223685124,229203296,234554717,239769911,244908664,249982496,254993282,259945064,264856460,269750922,274626790,279454447,284210724,288892620,293498239,298011750,302399753
76,Brazil,Low variant projection,193266085,197029029,200433650,203477750,206183397,208576329,210741462,212730248,214507510,216008626,217220299,218114225,218671172,218909815,218867347,218551617,217964740,217110218,215994243,214621698,212992984,211103265
76,Brazil,Constant fertility scenario,194589432,199759155,204872393,209924788,214914849,219837012,224695713,229494082,234236380,238930721,243577307,248173272,252715431,257196243,261604572,265935282,270182090,274341098,278412628,282399293,286304461,290131887
92,British Virgin Islands,Medium variant projection,22802,23296,23768,24222,24665,25095,25512,25912,26291,26646,26973,27265,27518,27730,27904,28038,28137,28206,28247,28267,28271,28265
92,British Virgin Islands,High variant projection,22892,23482,24067,24655,25253,25858,26456,27039,27603,28145,28660,29143,29592,30012,30408,30783,31145,31499,31848,32194,32542,32898
92,British Virgin Islands,Low variant projection,22713,23114,23474,23799,24089,24350,24588,24807,25004,25175,25317,25424,25492,25517,25498,25435,25327,25175,24986,24761,24509,24235
92,British Virgin Islands,Constant fertility scenario,22845,23390,23927,24463,25001,25542,26080,26611,27129,27630,28109,28564,28992,29392,29764,30111,30439,30754,31059,31356,31651,31951
96,Brunei Darussalam,Medium variant projection,398142,414215,430117,445775,461119,476131,490812,505162,519281,533340,547345,561194,574814,588159,601159,613774,625969,637723,649045,659962,670510,680732
96,Brunei Darussalam,High variant projection,400382,418810,437529,456491,475641,494886,513982,532781,551431,570198,589132,608220,627465,646889,666497,686274,706174,726149,746175,766222,786247,806179
96,Brunei Darussalam,Low variant projection,395903,409624,422712,435067,446605,457385,467650,477556,487170,496582,505785,514627,522996,530814,537970,544420,550135,555114,559385,563009,566067,568666
96,Brunei Darussalam,Constant fertility scenario,399867,417902,436350,455176,474325,493742,513368,533154,553073,573105,593240,613501,633901,654449,675151,696019,717079,738346,759817,781486,803346,825401
100,Bulgaria,Medium variant projection,7583684,7471300,7356711,7239239,7119394,6997307,6872624,6745296,6615990,6485603,6354614,6223776,6093650,5964282,5835483,5707309,5579938,5453378,5327352,5201470,5075352,4948663
100,Bulgaria,High variant projection,7615869,7534801,7454501,7373779,7292220,7208858,7121296,7028382,6932031,6835405,6739782,6647272,6559363,6476293,6397807,6323684,6252941,6184551,6117784,6051803,5985352,5916680
100,Bulgaria,Low variant projection,7551451,7407605,7258460,7103756,6944778,6782872,6619918,6457222,6294707,6131657,5968129,5804154,5639719,5474577,5308350,5141070,4973141,4804891,4636386,4467688,4299051,4130977
100,Bulgaria,Constant fertility scenario,7576068,7456176,7333247,7206086,7074452,6938650,6799316,6656967,6512326,6366362,6219413,6071464,5922577,5772514,5620709,5467235,5312818,5157950,5002538,4846400,4689644,4532769
854,Burkina Faso,Medium variant projection,15213314,16096848,17022377,17983503,18973671,19991083,21033554,22098297,23181631,24279360,25388154,26504520,27625211,28747593,29869338,30987916,32101144,33206766,34302249,35385019,36452642,37502871
854,Burkina Faso,High variant projection,15270884,16215939,17216561,18268209,19366350,20508309,21685867,22893082,24129248,25394875,26688806,28010964,29360913,30738243,32142860,33573192,35026804,36500879,37992371,39497735,41012714,42532292
