continent;Sum of gdp_total;Sum of population;Sum of total_area
Africa;1171825;728557223;30345377
Asia;12841900;3626527605;49078301.6
Australia/Oceania;469200;21996630;7974590
Europe;7947135;580266373;5888357.5
North America;8853267;456894652;24242048
South America;1952400;323510381;17715335
Grand Total;33235727;5737752864;135244009.1
