"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"
15	0	15	0	1	0	20	9	16	11	6.6	1.93
18	0	17	0	3	1	15	16	15	12	6.35	1.82
11	8	48	0	6	0	63	17	31	33	6.19	1.67
27	0	31.7	0	3	0	33	8	16	17	4.83	1.3
2	2	10.3	1	1	0	12	7	8	5	4.35	1.84
26	0	26.7	1	0	0	31	8	15	13	4.39	1.46
12	0	14.7	1	0	0	8	2	14	1	0.61	0.68
61	0	71	2	2	0	61	39	55	34	4.31	1.41
7	7	39	4	2	0	44	10	27	17	3.92	1.39
56	0	69	3	4	1	85	19	34	25	3.26	1.51
20	20	121	7	6	0	130	35	70	61	4.54	1.36
32	32	211.3	16	9	0	236	48	96	93	3.96	1.34
50	0	72.7	6	2	3	65	36	39	26	3.22	1.39
6	0	4.3	0	0	0	6	3	5	1	2.08	2.08
72	0	70.3	5	4	34	61	38	78	26	3.33	1.41
46	0	45	1	3	0	53	12	22	34	6.8	1.44
45	1	71.7	3	3	1	78	34	46	32	4.02	1.56
76	0	79.7	3	4	4	93	23	50	40	4.52	1.46
25	19	110	3	8	0	141	47	66	74	6.05	1.71
50	0	35.7	0	2	0	38	13	43	17	4.29	1.43
66	0	62.7	5	4	0	62	24	50	25	3.59	1.37
13	0	11.7	0	3	0	13	10	11	7	5.4	1.97
57	0	51.7	4	0	0	34	31	71	15	2.61	1.26
31	31	174	9	14	0	178	68	158	93	4.81	1.41
33	33	195	12	9	0	182	57	159	72	3.32	1.23
21	21	113	9	7	0	121	43	71	51	4.06	1.45
26	26	146	6	8	0	160	64	112	70	4.32	1.53
14	4	34	2	4	0	38	17	13	20	5.29	1.62
6	1	9	0	0	0	15	11	4	18	18	2.89
28	23	130	10	8	0	128	62	128	71	4.92	1.46
2	2	8	0	1	0	6	11	10	5	5.63	2.13
73	0	74.3	1	2	2	55	28	72	27	3.27	1.12
2	0	2	0	0	0	1	3	0	1	4.5	2
33	33	206.7	17	6	0	174	76	187	68	2.96	1.21
2	0	2	0	0	0	11	2	2	7	31.5	6.5
4	0	4	0	1	0	10	4	2	10	22.5	3.5
42	0	45.7	6	1	1	23	15	49	3	0.59	0.83
1	0	1	0	0	0	1	1	2	0	0	2
32	14	112.3	5	8	0	124	51	58	65	5.21	1.56
15	0	19	1	0	0	17	4	20	6	2.84	1.11
13	0	14.3	0	0	0	17	6	5	7	4.4	1.61
11	2	23	1	2	0	31	13	12	19	7.43	1.91
12	0	14.7	2	0	0	18	7	12	10	6.14	1.71
42	0	47.7	1	5	2	50	28	29	21	3.97	1.64
15	0	13.7	1	0	0	20	10	8	13	8.56	2.2
72	0	67	4	4	1	52	29	92	28	3.76	1.21
66	0	70.7	0	3	5	54	27	57	14	1.78	1.15
22	22	141.7	10	8	0	107	34	95	40	2.54	1
7	7	38	3	3	0	38	19	20	19	4.5	1.5
31	31	185	5	14	0	230	47	87	99	4.82	1.5
21	11	78.7	3	4	0	82	42	52	46	5.26	1.58
71	0	87.7	5	4	1	81	35	63	28	2.87	1.32
21	19	107	4	8	0	131	44	57	69	5.8	1.64
8	0	9.7	0	2	0	14	7	6	8	7.45	2.17
8	0	15.3	0	1	0	16	9	15	6	3.52	1.63
10	0	6	0	1	0	9	4	8	8	12	2.17
70	0	61.7	2	5	0	59	30	57	34	4.96	1.44
15	0	16	2	0	0	17	8	8	9	5.06	1.56
9	8	43.7	2	3	0	50	18	19	23	4.74	1.56
11	0	12.7	0	0	0	17	5	10	11	7.82	1.74
29	29	168	9	9	0	172	77	118	81	4.34	1.48
38	0	25.7	5	0	0	23	7	32	12	4.21	1.17
25	0	22.3	2	3	0	26	12	19	13	5.24	1.7
61	0	60.3	2	3	1	70	22	61	30	4.48	1.53
8	8	39.7	1	4	0	59	14	26	34	7.71	1.84
28	25	151.3	6	8	0	161	56	74	89	5.29	1.43
86	0	53.3	3	4	2	57	26	50	24	4.05	1.56
16	6	45.3	3	3	0	48	26	36	23	4.57	1.63
43	0	25.7	1	0	1	34	20	17	15	5.26	2.1
33	33	206.3	17	8	0	190	70	145	88	3.84	1.26
22	14	78.3	2	7	0	97	27	45	66	7.58	1.58
31	0	41.3	3	1	0	44	18	28	26	5.66	1.5
31	0	31	0	3	1	28	13	23	14	4.06	1.32
3	0	3.3	0	1	0	2	3	1	2	5.4	1.5
24	24	143.7	4	10	0	164	49	94	80	5.01	1.48
58	0	63.3	3	5	5	47	26	83	22	3.13	1.15
74	0	78.7	6	6	17	86	30	51	31	3.55	1.48
49	0	47.3	1	2	0	36	32	42	22	4.18	1.44
67	0	62.7	1	5	30	47	22	82	19	2.73	1.1
4	0	4	0	0	0	11	4	1	9	20.25	3.75
12	0	14	0	1	0	21	8	12	14	9	2.07
12	12	56	2	3	0	64	39	33	30	4.82	1.84
50	0	46.3	4	3	10	46	22	38	28	5.44	1.47
30	28	178.7	13	7	0	152	61	126	74	3.73	1.19
23	21	115.3	5	7	0	118	58	103	66	5.15	1.53
4	4	24	0	0	0	22	8	20	5	1.88	1.25
3	3	15	1	1	0	11	6	12	7	4.2	1.13
10	1	16	1	1	0	14	8	8	10	5.63	1.38
7	0	6.7	0	0	0	14	4	4	8	10.8	2.7
32	32	196.7	14	8	0	237	59	90	107	4.9	1.51
30	30	184.7	11	9	0	170	59	128	76	3.7	1.24
50	6	90	9	5	0	92	27	71	44	4.4	1.32
55	0	64	2	3	0	45	28	45	18	2.53	1.14
5	5	27	2	1	0	29	9	16	8	2.67	1.41
17	0	21.7	1	3	0	18	13	15	5	2.08	1.43
12	6	43.7	0	3	0	54	13	17	29	5.98	1.53
20	3	43.3	1	3	0	39	14	29	17	3.53	1.22
4	4	21	1	3	0	25	3	12	12	5.14	1.33
13	13	63.3	2	4	0	67	37	37	39	5.54	1.64
47	0	54.3	2	3	0	64	22	37	32	5.3	1.58
39	0	31.7	0	2	1	39	23	27	31	8.81	1.96
17	6	48	1	3	0	58	21	32	32	6	1.65
4	0	3.3	1	0	0	4	2	1	4	10.8	1.8
10	7	34	1	4	0	32	25	34	29	7.68	1.68
36	0	33.7	0	3	14	26	14	44	16	4.28	1.19
3	0	4	0	0	0	4	0	1	1	2.25	1
34	0	29.7	5	4	2	31	17	26	17	5.16	1.62
21	21	105.3	6	9	0	120	70	67	78	6.66	1.8
74	0	76	6	3	4	60	37	62	24	2.84	1.28
5	0	4.7	0	0	0	8	1	4	4	7.71	1.93
72	0	79	4	5	1	80	36	62	41	4.67	1.47
72	0	68.7	7	8	29	51	37	58	26	3.41	1.28
32	32	202.3	13	10	0	202	56	183	78	3.47	1.28
60	0	75	3	3	1	67	38	69	25	3	1.4
64	0	56.3	4	4	4	50	19	33	26	4.15	1.23
76	0	76.3	6	9	1	84	37	59	44	5.19	1.59
10	0	12.3	1	0	0	13	9	11	8	5.84	1.78
30	30	190.7	10	12	0	176	58	120	77	3.63	1.23
6	1	9.7	0	0	0	10	4	10	6	5.59	1.45
4	0	4.3	0	0	0	8	5	4	8	16.62	3
34	33	246	20	11	0	220	39	206	76	2.78	1.05
33	33	227.3	14	10	0	193	53	196	78	3.09	1.08
40	5	78.3	4	4	2	83	35	44	40	4.6	1.51
35	0	30.7	2	1	0	31	10	19	10	2.93	1.34
13	13	78	3	4	0	83	28	38	42	4.85	1.42
69	0	84.3	6	3	9	73	42	93	37	3.95	1.36
4	0	6.7	1	0	0	6	1	5	3	4.05	1.05
48	0	46.3	2	7	3	40	43	32	32	6.22	1.79
8	4	31.7	1	0	0	28	14	26	13	3.69	1.33
30	29	184.3	6	17	0	205	50	153	98	4.78	1.38
25	25	148	10	2	0	96	61	181	34	2.07	1.06
33	33	216	16	8	0	204	40	206	80	3.33	1.13
15	15	83.7	9	3	0	100	31	42	51	5.49	1.57
21	0	27.7	2	2	0	39	18	23	20	6.51	2.06
57	0	62	3	1	1	53	22	48	27	3.92	1.21
10	3	16.7	0	2	0	27	10	14	18	9.72	2.22
78	0	76	3	8	3	75	46	80	44	5.21	1.59
36	19	133.7	7	8	0	148	48	81	81	5.45	1.47
4	0	9.3	0	0	0	11	9	9	8	7.71	2.14
17	4	40.3	1	2	0	63	15	21	35	7.81	1.93
32	1	39	1	2	0	36	25	26	23	5.31	1.56
58	0	64.3	3	4	0	79	24	46	36	5.04	1.6
31	31	200.7	9	11	0	198	80	175	77	3.45	1.39
3	0	3	1	0	0	4	5	2	6	18	3
31	31	180	13	11	0	257	43	67	121	6.05	1.67
4	4	19.3	0	3	0	32	11	15	18	8.38	2.22
7	0	7.3	0	0	0	10	3	8	6	7.36	1.77
5	5	18.3	1	1	0	35	12	10	20	9.82	2.56
5	5	19.7	1	0	0	13	18	15	9	4.12	1.58
12	12	63.3	1	5	0	88	23	39	41	5.83	1.75
14	0	13.7	0	0	0	8	3	9	0	0	0.81
48	0	39.7	2	1	0	31	29	47	15	3.4	1.51
4	1	8.7	0	0	0	15	4	6	8	8.31	2.19
22	22	129	6	12	0	143	47	72	79	5.51	1.47
48	0	45.3	3	6	30	38	9	46	19	3.77	1.04
64	0	89.3	6	1	3	62	39	92	22	2.22	1.13
72	0	70.7	7	5	1	90	13	59	42	5.35	1.46
23	22	142	11	7	0	125	40	85	50	3.17	1.16
8	8	34	0	4	0	43	15	23	25	6.62	1.71
5	0	11.7	0	0	0	11	5	6	6	4.63	1.37
3	3	11	0	2	0	23	3	9	20	16.36	2.36
5	5	24.7	1	2	0	26	9	13	15	5.47	1.42
2	1	4	0	1	0	13	0	0	6	13.5	3.25
42	0	42.7	1	5	12	48	22	36	27	5.7	1.64
32	31	183.3	14	11	0	199	77	108	90	4.42	1.51
11	9	58.3	2	3	0	69	16	31	36	5.55	1.46
7	7	29.7	2	5	0	36	20	22	30	9.1	1.89
57	0	61.7	3	1	30	51	17	38	18	2.63	1.1
6	6	27.3	0	5	0	35	18	12	26	8.56	1.94
9	0	8.3	0	1	0	8	4	7	4	4.32	1.44
31	2	34.3	0	2	0	32	13	26	13	3.41	1.31
15	0	24	0	0	0	28	15	11	15	5.63	1.79
34	34	198.7	12	12	0	182	103	172	88	3.99	1.44
54	0	68.7	2	4	1	54	28	38	17	2.23	1.19
